Job`Customer`Order_Date`Part_Number`Rev`Description`Order_Quantity`Extra_Quantity`Pick_Quantity`Make_Quantity`Open_Operations`Completed_Quantity`Shipped_Quantity`FG_Transfer_Qty`In_Production_Quantity`Certs_Required`Act_Scrap_Quantity`Customer_PO`Customer_PO_LN`Sched_End`Sched_Start` `Released_Date`User_Values
---`--------`----------`-----------`---`-----------`--------------`--------------`-------------`-------------`---------------`------------------`----------------`---------------`----------------------`--------------`------------------`-----------`--------------`---------`-----------`-`-------------`-----------
CALEB`D.LINNERUD`2020-05-15 00:00:00.000`DADF`A`aasdf`1`0`0`1`0`0`0`0`1`0`0`ASD`dsa`2023-03-30 00:00:00.000`2023-03-30 00:00:00.000`. Mike K`2021-12-14 00:00:00.000`NULL
129059`EDG GEAR`2023-04-05 00:00:00.000`499684`A`14M-75S-PULLEY`2`0`0`2`8`0`0`0`2`0`0`RF 04/05/23`4`2023-06-05 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129058`EDG GEAR`2023-04-05 00:00:00.000`462878`B`40T, 8 DP ELEV. GEAR`4`0`0`4`6`0`0`0`4`0`0`RF 04/05/23`3`2023-06-02 00:00:00.000`2023-04-20 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129057`EDG GEAR`2023-04-05 00:00:00.000`447729`NULL`72T. 8 DP ECCENTRIC HOUSING`10`0`0`10`11`0`0`0`10`0`0`RF 04/05/23`2`2023-06-07 00:00:00.000`2023-04-25 00:00:00.000`1 ITEM  Greg V`2023-04-07 00:00:00.000`NULL
129056`EDG GEAR`2023-04-05 00:00:00.000`425429`NULL`40T, ¼ CP FOLDER GEAR`40`0`0`40`9`0`0`0`40`0`0`RF 04/05/23`1`2023-06-06 00:00:00.000`2023-04-21 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129055`TURBO TOOL`2023-04-05 00:00:00.000`NNSM 3.5 X 1.75 X 3.940 LG`NULL`NULL`4`0`0`4`0`4`4`0`0`0`0`23018`1`2023-04-05 00:00:00.000`2023-04-05 00:00:00.000`1 ITEM Mike K`2023-04-05 00:00:00.000`NULL
129054`GATES`2023-04-05 00:00:00.000`14MX-75S-90 X B121090`-`STEEL, NO FLANGES, TYPE D-2,`16`0`0`16`5`0`0`0`16`0`0`1819985`1`2023-05-19 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM - JAMIE`2023-04-05 00:00:00.000`NULL
129053`KRAFT-CHIC`2023-04-05 00:00:00.000`50071912`C`24T DRIVE GEAR`1`0`1`0`2`0`0`0`0`0`0`8101155190`1`2023-04-26 00:00:00.000`2023-04-10 00:00:00.000`1 ITEM  Caleb H`2023-04-06 00:00:00.000`NULL
129052`KORBER`2023-04-05 00:00:00.000`K051J0753`NULL`P40-ATP10`1`0`0`1`12`0`0`0`1`0`0`4201151802`1`2023-04-26 00:00:00.000`2023-04-06 00:00:00.000`1 ITEM Greg V`2023-04-05 00:00:00.000`4376
129051`MAXCESS`2023-04-05 00:00:00.000`29L49162002`B`70T/16T GSM COMBINATION GEAR`5`0`0`5`6`0`0`0`5`0`0`1660717`1`2023-05-01 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM - JAMIE `2023-04-05 00:00:00.000`NULL
129050`EDG GEAR`2023-04-05 00:00:00.000`185532`3`25T, 1" PITCH SPROCKET`100`0`0`100`10`0`0`0`100`0`0`GREG 4-5-23`2`2023-05-22 00:00:00.000`2023-04-12 00:00:00.000`1 OF 2 ITEMS  Greg V`2023-04-06 00:00:00.000`NULL
129049`EDG GEAR`2023-04-05 00:00:00.000`015165`NULL`36T, 2.75 MOD GEAR`2`0`0`2`10`0`0`0`2`0`0`GREG 4-5-23`1`2023-05-17 00:00:00.000`2023-04-14 00:00:00.000`1 OF 2 ITEMS  Greg V`2023-04-06 00:00:00.000`NULL
129048`MO-ALBANY`2023-04-05 00:00:00.000`8641-0187`-`32T SPUR GEAR, NYLOIL`3`0`0`3`6`0`0`0`3`0`0`NY04-00313602`1`2023-05-02 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM   Caleb H`2023-04-05 00:00:00.000`NULL
129047`AGS`2023-04-05 00:00:00.000`1000P-90-110`A`29T, SPUR GEAR`30`0`0`30`13`0`0`0`30`0`0`3786`1`2023-05-16 00:00:00.000`2023-04-10 00:00:00.000`1 ITEM   BRENT`2023-04-05 00:00:00.000`NULL
129045`BWP ZERAND`2023-04-04 00:00:00.000`47952-C`E`56T, 4DP SPUR GEAR`1`0`0`1`9`0`0`0`1`0`0`P801452`1`2023-05-23 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM Caleb H`2023-04-05 00:00:00.000`NULL
129044`KORBER`2023-04-04 00:00:00.000`373229`-`P61-14M-85, W/PEENED FLANGES`1`0`0`1`10`0`0`0`1`0`0`4201151780`1`2023-04-28 00:00:00.000`2023-04-11 00:00:00.000`1 OF 2 ITEMS  Greg V`2023-04-06 00:00:00.000`NULL
129043`KORBER`2023-04-04 00:00:00.000`250516`NULL`P30-8M-50`2`0`0`2`9`0`0`0`2`0`0`4201151780`1`2023-04-28 00:00:00.000`2023-04-11 00:00:00.000`1 OF 2 ITEMS Greg V`2023-04-06 00:00:00.000`NULL
