Job`Job_Operation`WC_Vendor`Operation_Service`Vendor`Sched_Start`Sched_End`Sequence`Status`Est_Total_Hrs
---`-------------`---------`-----------------`------`-----------`---------`--------`------`-------------
CALEB`737641`OFFICE`NULL`NULL`2023-03-30 09:00:00.000`2023-03-30 09:00:00.000`3`O`0.0
128966`737946`A-SAW`NULL`NULL`2023-04-03 07:39:00.000`2023-04-03 08:24:00.000`0`O`0.75
128955`737879`A-LTH CNCX`NULL`NULL`2023-04-05 13:13:00.000`2023-04-06 10:38:00.000`1`O`5.4199999999999999
128955`737880`A-HOB CNC`NULL`NULL`2023-04-07 12:38:00.000`2023-04-11 10:22:00.000`2`O`13.73
128955`737881`DEBURR`DEBURR-ST`NULL`2023-04-12 12:22:00.000`2023-04-12 13:17:00.000`3`O`0.91000000000000003
128955`737882`A-NITRIDE`.020 DEEP`NULL`2023-04-14 05:17:00.000`2023-04-18 15:17:00.000`4`O`44.0
128955`737883`A-NITRIDE`.020 DEEP`NULL`2023-04-20 17:17:00.000`2023-04-25 19:17:00.000`5`O`60.0
128955`737884`INSPECT`CHECK SIZE`NULL`2023-04-27 09:00:00.000`2023-04-27 09:15:00.000`6`O`0.25
128955`737885`A-LTH CNCX`NULL`NULL`2023-04-28 11:15:00.000`2023-04-28 13:40:00.000`7`O`2.4199999999999999
128955`737886`RED LINE`NULL`NULL`2023-05-01 13:40:00.000`2023-05-01 15:05:00.000`8`O`1.4199999999999999
128954`737868`A-SAW`NULL`NULL`2023-04-17 10:26:00.000`2023-04-17 11:19:00.000`0`O`0.88
128954`737869`A-LTH CNC`NULL`NULL`2023-04-20 07:19:00.000`2023-04-20 10:19:00.000`1`O`3.0
128954`737870`G BLANCH`NULL`NULL`2023-04-24 14:19:00.000`2023-04-25 07:54:00.000`2`O`1.5800000000000001
128954`737871`A-HOB CNC`NULL`NULL`2023-04-27 11:54:00.000`2023-04-28 07:50:00.000`3`O`3.9300000000000002
128954`737872`DEBURR`DEBURR`NULL`2023-05-02 11:50:00.000`2023-05-02 12:30:00.000`4`O`0.67000000000000004
128954`737873`STAMP`MARQUIP ST`NULL`2023-05-08 10:30:00.000`2023-05-08 11:00:00.000`5`O`0.5
128954`737874`A-NITRIDE`.020 DEEP`NULL`2023-05-15 16:35:00.000`2023-05-17 12:35:00.000`6`O`44.0
128954`737875`INSPECT`CHECK SIZE`NULL`2023-05-19 10:35:00.000`2023-05-19 10:50:00.000`7`O`0.25
128954`737876`A-LTH CNC`NULL`NULL`2023-05-25 08:50:00.000`2023-05-25 11:00:00.000`8`O`2.1699999999999999
128954`737877`RED LINE`NULL`NULL`2023-05-30 15:01:00.000`2023-05-30 16:00:00.000`9`O`0.97999999999999998
128953`737857`A-SAW`NULL`NULL`2023-04-18 07:22:00.000`2023-04-18 09:25:00.000`0`O`2.0499999999999998
128953`737858`A-LTH VER`NULL`NULL`2023-04-20 13:25:00.000`2023-04-24 07:55:00.000`1`O`10.5
128953`737859`A-HOB CNC`NULL`NULL`2023-04-26 11:55:00.000`2023-04-28 08:25:00.000`2`O`12.5
128953`737860`DEBURR`NULL`NULL`2023-05-02 12:25:00.000`2023-05-02 13:00:00.000`3`O`0.57999999999999996
128953`737861`A-NITRIDE`.020 DEEP`NULL`2023-05-08 15:07:00.000`2023-05-10 11:07:00.000`4`O`44.0
128953`737862`INSPECT`CHECK SIZE`NULL`2023-05-12 09:07:00.000`2023-05-12 09:18:00.000`5`O`0.17999999999999999
128953`737863`A-LTH VER`NULL`NULL`2023-05-16 13:18:00.000`2023-05-17 10:48:00.000`6`O`5.5
128953`737864`A-MILL`NULL`NULL`2023-05-19 14:48:00.000`2023-05-22 09:03:00.000`7`O`2.25
128953`737865`M BRPT`NULL`NULL`2023-05-24 13:03:00.000`2023-05-25 08:03:00.000`8`O`3.0
128953`737866`STAMP`MARQUIP ST`NULL`2023-05-29 12:03:00.000`2023-05-29 12:21:00.000`9`O`0.29999999999999999
128953`737867`RED LINE`NULL`NULL`2023-05-31 14:21:00.000`2023-05-31 16:00:00.000`10`O`1.6499999999999999
128952`737848`A-SAW`NULL`NULL`2023-04-03 08:15:00.000`2023-04-03 10:18:00.000`0`O`2.0499999999999998
128952`737849`A-LTH CNCX`NULL`NULL`2023-04-05 12:18:00.000`2023-04-07 07:48:00.000`1`O`11.5
128952`737850`A-LTH VER`NULL`NULL`2023-04-10 09:48:00.000`2023-04-12 14:03:00.000`2`O`20.25
128952`737851`A-MILL`NULL`NULL`2023-04-14 08:03:00.000`2023-04-18 08:33:00.000`3`O`16.5
128952`737852`A-HOB CNC`NULL`NULL`2023-04-19 10:33:00.000`2023-04-20 14:12:00.000`4`O`11.65
128952`737853`DEBURR`NULL`NULL`2023-04-24 08:12:00.000`2023-04-24 09:32:00.000`5`O`1.3300000000000001
128952`737854`STAMP`MARQUIP ST`NULL`2023-04-24 11:32:00.000`2023-04-24 12:17:00.000`6`O`0.75
128952`737855`INSPECT`LATHE`NULL`2023-04-25 14:17:00.000`2023-04-25 15:00:00.000`7`O`0.70999999999999996
128952`737856`RED LINE`NULL`NULL`2023-04-26 15:09:00.000`2023-04-26 16:00:00.000`8`O`0.84999999999999998
128951`737839`A-SAW`NULL`NULL`2023-04-07 12:47:00.000`2023-04-07 14:58:00.000`0`O`2.1800000000000002
128951`737840`A-LTH CNCX`TURN OD`NULL`2023-04-13 12:58:00.000`2023-04-17 09:08:00.000`1`O`12.17
128951`737841`A-LTH VER`ECC TURN`NULL`2023-04-21 07:08:00.000`2023-04-24 11:18:00.000`2`O`12.17
128951`737842`A-MILL`NULL`NULL`2023-04-28 09:18:00.000`2023-05-02 10:48:00.000`3`O`17.5
128951`737843`A-HOB CNC`NULL`NULL`2023-05-08 08:48:00.000`2023-05-09 13:12:00.000`4`O`12.4
128951`737844`DEBURR`NULL`NULL`2023-05-15 11:12:00.000`2023-05-15 12:37:00.000`5`O`1.4099999999999999
128951`737845`STAMP`MARQUIP ST`NULL`2023-05-19 10:37:00.000`2023-05-19 11:25:00.000`6`O`0.80000000000000004
128951`737846`A-LTH CNCX`INSPECT`NULL`2023-05-25 09:25:00.000`2023-05-25 11:00:00.000`7`O`1.5800000000000001
128951`737847`RED LINE`NULL`NULL`2023-05-30 15:23:00.000`2023-05-30 16:00:00.000`8`O`0.60999999999999999
128950`737830`A-SAW`NULL`NULL`2023-04-11 11:40:00.000`2023-04-11 12:40:00.000`0`O`1.0
128950`737831`L S250D`# 1`NULL`2023-04-17 10:40:00.000`2023-04-18 10:50:00.000`1`O`8.1699999999999999
128950`737832`H 20`NULL`NULL`2023-04-24 08:50:00.000`2023-04-24 14:35:00.000`2`O`5.75
128950`737833`DEBURR`NULL`NULL`2023-04-28 12:35:00.000`2023-04-28 13:30:00.000`3`O`0.91000000000000003
128950`737834`A-NITRIDE`NULL`NULL`2023-05-05 09:30:00.000`2023-05-10 15:30:00.000`4`O`64.0
128950`737835`INSPECT`CHECK SIZE`NULL`2023-05-12 13:30:00.000`2023-05-12 13:45:00.000`5`O`0.25
128950`737836`L S250D`# 2`NULL`2023-05-18 11:45:00.000`2023-05-19 12:30:00.000`6`O`8.75
128950`737837`STAMP`MARQUIP ST`NULL`2023-05-25 10:30:00.000`2023-05-25 11:00:00.000`7`O`0.5
128950`737838`RED LINE`NULL`NULL`2023-05-30 15:15:00.000`2023-05-30 16:00:00.000`8`O`0.75
128949`737822`A-SAW`NULL`NULL`2023-04-21 11:21:00.000`2023-04-21 12:09:00.000`0`O`0.80000000000000004
128949`737823`A-LTH CNC`NULL`NULL`2023-04-27 10:09:00.000`2023-04-27 13:24:00.000`1`O`3.25
128949`737824`H 15`NULL`NULL`2023-05-03 11:24:00.000`2023-05-03 14:24:00.000`2`O`3.0
128949`737825`DEBURR`NULL`NULL`2023-05-09 12:24:00.000`2023-05-09 13:24:00.000`3`O`1.0
128949`737826`BROACH`NULL`NULL`2023-05-15 11:24:00.000`2023-05-15 12:39:00.000`4`O`1.25
128949`737827`A-MILL`DRILL-TAP`NULL`2023-05-19 10:39:00.000`2023-05-19 12:09:00.000`5`O`1.5
128949`737828`STAMP`MARQUIP ST`NULL`2023-05-25 10:09:00.000`2023-05-25 10:54:00.000`6`O`0.75
128949`737829`RED LINE`RED LINE`NULL`2023-05-30 14:54:00.000`2023-05-30 16:00:00.000`7`O`1.1000000000000001
128948`737815`A-SAW`NULL`NULL`2023-04-24 08:12:00.000`2023-04-24 11:35:00.000`0`O`3.3799999999999999
128948`737816`AP-LTH CNC`NULL`NULL`2023-04-28 09:35:00.000`2023-05-01 10:55:00.000`1`O`9.3300000000000001
128948`737817`H 15`NULL`NULL`2023-05-05 08:55:00.000`2023-05-09 08:31:00.000`2`O`15.6
128948`737818`DEBURR`NULL`NULL`2023-05-12 14:31:00.000`2023-05-15 08:16:00.000`3`O`1.75
128948`737819`STAMP`MARQUIP ST`NULL`2023-05-18 14:16:00.000`2023-05-19 07:56:00.000`4`O`1.6699999999999999
128948`737820`A-MILL`DRILL-TAP`NULL`2023-05-24 13:56:00.000`2023-05-25 09:21:00.000`5`O`3.4199999999999999
128948`737821`RED LINE`NULL`NULL`2023-05-30 13:21:00.000`2023-05-30 16:00:00.000`6`O`2.6499999999999999
128947`737805`A-SAW`NULL`NULL`2023-04-13 11:06:00.000`2023-04-13 13:11:00.000`0`O`2.0800000000000001
128947`737806`L 600`NULL`NULL`2023-04-18 09:11:00.000`2023-04-19 07:11:00.000`1`O`6.0
128947`737807`HT OVEN`DUCTILE`NULL`2023-04-21 11:11:00.000`2023-04-21 12:41:00.000`2`O`1.5
128947`737808`L 600`NULL`NULL`2023-04-26 08:41:00.000`2023-04-26 13:31:00.000`3`O`4.8300000000000001
128947`737809`A-LTH VER`ECC TURN`NULL`2023-05-01 09:31:00.000`2023-05-02 08:01:00.000`4`O`6.5
128947`737810`A-MILL`NULL`NULL`2023-05-05 14:01:00.000`2023-05-08 13:56:00.000`5`O`7.9199999999999999
128947`737811`A-HOB CNC`NULL`NULL`2023-05-12 11:56:00.000`2023-05-15 12:46:00.000`6`O`8.8300000000000001
128947`737812`DEBURR`DEBURR-ST`NULL`2023-05-19 10:46:00.000`2023-05-19 11:41:00.000`7`O`0.91000000000000003
128947`737813`INSPECT`LATHE`NULL`2023-05-25 09:41:00.000`2023-05-25 10:11:00.000`8`O`0.5
128947`737814`RED LINE`NULL`NULL`2023-05-30 14:11:00.000`2023-05-30 16:00:00.000`9`O`1.8200000000000001
128946`737795`A-SAW`NULL`NULL`2023-04-18 12:26:00.000`2023-04-18 13:23:00.000`0`O`0.94999999999999996
128946`737796`A-LTH CNCX`NULL`NULL`2023-04-21 09:23:00.000`2023-04-21 12:58:00.000`1`O`3.5800000000000001
128946`737797`G SURFACE`NULL`NULL`2023-04-26 08:58:00.000`2023-04-26 09:53:00.000`2`O`0.92000000000000004
128946`737798`A-HOB CNC`NULL`NULL`2023-04-28 13:53:00.000`2023-05-01 10:23:00.000`3`O`4.5
128946`737799`DEBURR`NULL`NULL`2023-05-03 14:23:00.000`2023-05-03 14:48:00.000`4`O`0.40999999999999998
128946`737800`STAMP`MARQUIP ST`NULL`2023-05-08 10:48:00.000`2023-05-08 11:00:00.000`5`O`0.20000000000000001
128946`737801`A-NITRIDE`.020 DEEP`NULL`2023-05-15 17:21:00.000`2023-05-17 13:21:00.000`6`O`44.0
128946`737802`INSPECT`CHECK SIZE`NULL`2023-05-19 11:21:00.000`2023-05-19 11:30:00.000`7`O`0.14999999999999999
128946`737803`A-LTH CNCX`NULL`NULL`2023-05-25 09:30:00.000`2023-05-25 11:00:00.000`8`O`1.5
128946`737804`RED LINE`NULL`NULL`2023-05-30 15:11:00.000`2023-05-30 16:00:00.000`9`O`0.81999999999999995
128945`737760`A-SAW`NULL`NULL`2023-04-17 10:48:00.000`2023-04-17 11:11:00.000`0`O`0.38
128945`737761`IN`IN`NULL`2023-04-24 11:11:00.000`2023-04-24 11:16:00.000`1`O`8.0000000000000002E-2
128945`737762`L 250LT`NULL`NULL`2023-05-01 11:16:00.000`2023-05-01 14:11:00.000`2`O`2.9199999999999999
128945`737763`H 15`NULL`NULL`2023-05-08 14:11:00.000`2023-05-09 08:15:00.000`3`O`2.0699999999999998
128945`737764`DEBURR`DEBURR-ST`NULL`2023-05-16 08:15:00.000`2023-05-16 09:00:00.000`4`O`0.75
128945`737765`RED LINE`NULL`NULL`2023-05-23 06:01:00.000`2023-05-23 07:00:00.000`5`O`0.97999999999999998
128945`737766`PRESS`NULL`NULL`2023-05-29 09:00:00.000`2023-05-29 09:00:00.000`6`O`0.0
128944`737750`A-SAW`NULL`NULL`2023-04-12 12:23:00.000`2023-04-12 13:06:00.000`0`O`0.71999999999999997
128944`737751`A-LTH CNC`NULL`NULL`2023-04-17 09:06:00.000`2023-04-17 12:51:00.000`1`O`3.75
128944`737752`G SURFACE`NULL`NULL`2023-04-20 08:51:00.000`2023-04-20 10:55:00.000`2`O`2.0699999999999998
128944`737753`A-HOB CNC`NULL`NULL`2023-04-24 14:55:00.000`2023-04-25 14:05:00.000`3`O`7.1699999999999999
128944`737754`DEBURR`DEBURR-ST`NULL`2023-04-28 10:05:00.000`2023-04-28 11:00:00.000`4`O`0.91000000000000003
128944`737755`A-NITRIDE`.020 DEEP`NULL`2023-05-05 04:20:00.000`2023-05-09 14:20:00.000`5`O`44.0
128944`737756`A-NITRIDE`.020 DEEP`NULL`2023-05-12 10:20:00.000`2023-05-17 12:20:00.000`6`O`60.0
128944`737757`INSPECT`CHECK SIZE`NULL`2023-05-19 10:20:00.000`2023-05-19 10:35:00.000`7`O`0.25
128944`737758`A-LTH CNC`NULL`NULL`2023-05-25 08:35:00.000`2023-05-25 11:00:00.000`8`O`2.4199999999999999
128944`737759`RED LINE`NULL`NULL`2023-05-30 15:01:00.000`2023-05-30 16:00:00.000`9`O`0.97999999999999998
128943`737740`A-SAW`NULL`NULL`2023-04-18 12:32:00.000`2023-04-18 14:35:00.000`0`O`2.0499999999999998
128943`737741`A-LTH CNCX`NULL`NULL`2023-04-21 10:35:00.000`2023-04-24 07:50:00.000`1`O`5.25
128943`737742`A-MILL`NULL`NULL`2023-04-26 11:50:00.000`2023-04-26 13:45:00.000`2`O`1.9199999999999999
128943`737743`A-HOB CNC`NULL`NULL`2023-05-01 09:45:00.000`2023-05-02 12:15:00.000`3`O`10.5
128943`737744`DEBURR`DEBURR`NULL`2023-05-05 08:15:00.000`2023-05-05 08:45:00.000`4`O`0.5
128943`737745`STAMP`MARQUIP ST`NULL`2023-05-09 12:45:00.000`2023-05-09 13:00:00.000`5`O`0.25
128943`737746`A-NITRIDE`.020 DEEP`NULL`2023-05-15 17:05:00.000`2023-05-17 13:05:00.000`6`O`44.0
128943`737747`INSPECT`CHECK SIZE`NULL`2023-05-19 11:05:00.000`2023-05-19 11:15:00.000`7`O`0.16
128943`737748`A-LTH CNCX`NULL`NULL`2023-05-25 09:15:00.000`2023-05-25 11:00:00.000`8`O`1.75
128943`737749`RED LINE`NULL`NULL`2023-05-30 15:45:00.000`2023-05-30 16:00:00.000`9`O`0.25
128942`737728`IN`IN`NULL`2023-04-13 11:19:00.000`2023-04-13 11:24:00.000`0`O`8.0000000000000002E-2
128942`737729`A-LTH VER`NULL`NULL`2023-04-18 07:24:00.000`2023-04-18 14:44:00.000`1`O`7.3300000000000001
128942`737730`M 510A`NULL`NULL`2023-04-21 10:44:00.000`2023-04-24 12:19:00.000`2`O`9.5800000000000001
128942`737731`G BLANCH`NULL`NULL`2023-04-27 08:19:00.000`2023-04-27 11:09:00.000`3`O`2.8300000000000001
128942`737732`A-HOB CNC`NULL`NULL`2023-05-02 07:09:00.000`2023-05-03 12:15:00.000`4`O`13.1
128942`737733`DEBURR`NULL`NULL`2023-05-08 08:15:00.000`2023-05-08 08:45:00.000`5`O`0.5
128942`737734`STAMP`MARQUIP ST`NULL`2023-05-10 12:45:00.000`2023-05-10 13:00:00.000`6`O`0.25
128942`737735`A-NITRIDE`.020 DEEP`NULL`2023-05-16 15:52:00.000`2023-05-18 11:52:00.000`7`O`44.0
128942`737736`INSPECT`CHECK SIZE`NULL`2023-05-22 09:52:00.000`2023-05-22 10:02:00.000`8`O`0.16
128942`737737`A-MILL`MILL`NULL`2023-05-24 14:02:00.000`2023-05-24 14:20:00.000`9`O`0.28999999999999998
128942`737738`A-LTH VER`BORE`NULL`2023-05-29 10:20:00.000`2023-05-29 13:00:00.000`10`O`2.6699999999999999
128942`737739`RED LINE`NULL`NULL`2023-05-31 15:20:00.000`2023-05-31 16:00:00.000`11`O`0.67000000000000004
128941`737716`A-SAW`NULL`NULL`2023-04-07 11:22:00.000`2023-04-07 13:25:00.000`0`O`2.0499999999999998
128941`737717`A-LTH CNC`NULL`NULL`2023-04-12 09:25:00.000`2023-04-13 07:40:00.000`1`O`6.25
128941`737718`A-MILL`NULL`NULL`2023-04-17 11:40:00.000`2023-04-18 13:40:00.000`2`O`10.0
128941`737719`G BLANCH`NULL`NULL`2023-04-21 09:40:00.000`2023-04-21 11:55:00.000`3`O`2.25
128941`737720`A-HOB CNC`NULL`NULL`2023-04-26 07:55:00.000`2023-04-27 11:19:00.000`4`O`11.4
128941`737721`DEBURR`NULL`NULL`2023-05-02 07:19:00.000`2023-05-02 08:24:00.000`5`O`1.0800000000000001
128941`737722`STAMP`MARQUIP ST`NULL`2023-05-04 12:24:00.000`2023-05-04 13:00:00.000`6`O`0.59999999999999998
128941`737723`A-NITRIDE`.020 DEEP`NULL`2023-05-10 05:55:00.000`2023-05-12 01:55:00.000`7`O`44.0
128941`737724`A-NITRIDE`.020 DEEP`NULL`2023-05-17 11:55:00.000`2023-05-22 13:55:00.000`8`O`60.0
128941`737725`INSPECT`CHECK SIZE`NULL`2023-05-24 11:55:00.000`2023-05-24 12:12:00.000`9`O`0.28000000000000003
128941`737726`A-LTH CNC`BORE`NULL`2023-05-29 08:12:00.000`2023-05-29 12:27:00.000`10`O`4.25
128941`737727`RED LINE`NULL`NULL`2023-05-31 14:27:00.000`2023-05-31 16:00:00.000`11`O`1.55
128940`737706`A-SAW`NULL`NULL`2023-04-18 08:34:00.000`2023-04-18 09:57:00.000`0`O`1.3799999999999999
128940`737707`A-LTH CNC`NULL`NULL`2023-04-20 13:57:00.000`2023-04-21 10:32:00.000`1`O`4.5800000000000001
128940`737708`G BLANCH`NULL`NULL`2023-04-25 14:32:00.000`2023-04-26 08:32:00.000`2`O`2.0
128940`737709`A-HOB CNC`NULL`NULL`2023-04-28 12:32:00.000`2023-05-01 11:36:00.000`3`O`7.0700000000000003
128940`737710`DEBURR`DEBURR`NULL`2023-05-04 07:36:00.000`2023-05-04 10:11:00.000`4`O`2.5800000000000001
128940`737711`STAMP`MARQUIP ST`NULL`2023-05-08 14:11:00.000`2023-05-08 14:41:00.000`5`O`0.5
128940`737712`A-NITRIDE`.020 DEEP`NULL`2023-05-12 08:41:00.000`2023-05-16 18:41:00.000`6`O`44.0
128940`737713`INSPECT`CHECK SIZE`NULL`2023-05-19 08:41:00.000`2023-05-19 08:56:00.000`7`O`0.25
128940`737714`A-LTH CNC`BORE`NULL`2023-05-24 14:56:00.000`2023-05-25 10:11:00.000`8`O`3.25
128940`737715`RED LINE`NULL`NULL`2023-05-30 14:11:00.000`2023-05-30 16:00:00.000`9`O`1.8200000000000001
128939`737694`A-SAW`NULL`NULL`2023-04-12 10:46:00.000`2023-04-12 12:49:00.000`0`O`2.0499999999999998
128939`737695`A-LTH CNC`NULL`NULL`2023-04-17 08:49:00.000`2023-04-18 08:19:00.000`1`O`7.5
