Job`Material`Vendor`Description`Pick_Buy_Indicator`Status
---`--------`------`-----------`------------------`------
128704`8.5X4140HT`NULL`8.5" RND.`P`C
128703`4.25X1545`NULL`4.25" RND.`P`C
128702`4X1545`NULL`4" RND.`P`C
128701`6.5X4140HT`NULL`6.5" RND.`P`O
128700`11.5X4140HT`NULL`11.5" RND`P`O
128699`6.5X1545`NULL`6.5" RND.`P`C
128698`3.25X1545`NULL`3.25" RND.`P`O
128697`3.25X1545`NULL`3.25" RND.`P`O
128696`CD2-90-11`NULL`13T, 10DP SPUR GEAR`P`O
128695`4.5X4140HT`NULL`4.5" RND.`P`C
128694`6CD6-45-15`NULL`60B47 SPROCKET`P`O
128693`6CD6-45-11`NULL`84T, 60B SPROCKET`P`O
128692`305269`NULL`84T, ¾" PITCH SPROCKET`P`O
128691`302258`NULL`40A12 SPROCKET`P`O
128690`4X1545`ALRO`4" RND.`P`C
128689`3.75X4140HT`NULL`3.75" RND.`P`C
128688`3.75X4140HT`CASTLE`3.75" RND.`P`C
128687`7XGI`NULL`7" RND. (CLASS # 40)`P`C
128686`7XGI`NULL`7" RND. (CLASS # 40)`P`C
128685`2.5" 4140 PLATE 26.5" ROUND`CASTLE`ANNEALED`B`C
128684`3.5X4140`ALRO`3.5" RND.`P`C
128683`5.75X1545`NULL`5.75" RND.`P`C
128682`6.5X1545`ALRO`6.5" RND.`P`C
128681`6.75X1545`ALRO`6.75" RND.`P`C
128680`9.5X4140`ALRO`9.5" RND.`P`O
128679`13.5X4340`NULL`13.5" RND.`P`O
128678`9.5X1545`ALRO`9.5" RND.`P`O
128677`NNSM6.5X3.25X13`DURAGEAR`NNSM 6.5" X 3.25" X 13"`P`C
128676`1.5X416SSHT (C.F.)`NULL`1.5" RND. (26-32 RC.)`P`C
128675`7.5X4140`NULL`7.5" RND.`P`C
128672`3.25X4140`NULL`3.25" RND.`P`O
128670`3X8620`NULL`3" RND.`P`C
128669`15XGI`NULL`15" RND. (CLASS # 40)`P`C
128668`15XGI`NULL`15" RND. (CLASS # 40)`P`C
128667`8.5X4140HT`NULL`8.5" RND.`P`C
128666`11XNSM`NULL`11" RND.`P`C
128665`5.5X1545`ALRO`5.5" RND.`P`C
128664`11XNSM`NULL`11" RND.`P`C
128663`10XNSM`ALRO`10" RND.`P`C
128662`8XNSM`NULL`8" RND.`P`C
128661`7XNSM`NULL`7" RND.`P`C
128660`6XNSM`NULL`6" RND.`P`C
128659`5.5X4140HT`CASTLE`5.5" RND.`P`C
128657`1.5X303`NULL`1.5" RND.`P`C
128656`1.5X303`NULL`1.5" RND.`P`C
128655`1.5X303`NULL`1.5" RND.`P`C
128653`2-160-18`NULL`STEEL HUB`P`O
128653`7.5X4150HT`NULL`7.5" RND.`P`O
128652`1-210-2`NULL`PIN`P`C
128652`7.5X4150HT`NULL`7.5" RND.`P`C
128652`7.5X4150HT`NULL`7.5" RND.`P`C
128652`L-24 CLAMP`GREENLEAF`NULL`B`C
128651`4X1545`NULL`4" RND.`P`C
128650`4X1545`NULL`4" RND.`P`C
128649`4X1545`NULL`4" RND.`P`C
128648`3.5X1545`ALRO`3.5" RND.`P`C
128647`13X6061`NULL`13" DIA.`P`C
128646`2-1/4" GSM 17-1/4 O.D.`ALRO`NULL`B`S
128645`273901`NULL`P23-8M PULLEY`P`C
128644`273900`NULL`P30-8M  PULLEY`P`C
128643`6.5X4140HT`CASTLE`6.5" RND.`P`C
128642`6.5X4140HT`CASTLE`6.5" RND.`P`C
128640`NNSM2.75X1.75X13`DURAGEAR`NNSM 2.75" X 1.75" X 13"`P`C
128639`3.25X304`NULL`3.25" RND.`P`C
128638`NNSM12.5X7X2.25`NULL`NULL`P`C
128637`7.5X4140`ALRO`7.5" RND.`P`O
128636`5.5X4140HT`CASTLE`5.5" RND.`P`C
128635`5.5X4140HT`CASTLE`5.5" RND.`P`C
128635`5.5X4140HT`CASTLE`5.5" RND.`P`C
128634`15XDI`NULL`15" - 15.25" RND.`P`C
128633`21S823`NULL`30T, 12 DP SPUR GEAR`P`O
128632`709024`NULL`50B16 x 1.312". STEEL`P`C
128631`3.5XDI`NULL`3.5" RND.`P`C
128630`3X6061`ALRO`3" RND.`P`C
128630`2.906-SS`PARKWAY`8M-26X2.091 ID(#933) SS`P`C
128629`185476`NULL`NULL`P`C
128628`364836`NULL`P48-8M-30 PULLEY`P`C
128627`NGSM6.0X3.25X13`NULL`NGSM 6" X 3.25" X 13"`P`C
128624`2000020.255.0`NULL`72T NYLASTEEL GEAR`P`C
128623`6493K12`MCMAS-CARR`316 SS, .75 OD, 36" Length`B`C
128622`0203-011-012`NULL`DROPPER SHAFT`P`C
128621`4.5X1545`ALRO`4.5" RND.`P`C
128620`2X1545`RYERSON`NULL`P`C
128619`2.5X4140`NULL`2.5" RND.`P`C
128618`1.75X4150`NULL`1.75" RND CRS`P`C
128617`4.5X303`NULL`4.5" RND.`P`C
128617`4.911SS`PARKWAY`4.911 FLANGE 3.803 ID(942-SS)`P`C
128616`10X4140HT`NULL`10" RND.`P`C
128615`14X4140HT`NULL`14" RND.`P`C
128614`5.5XDI`NULL`5.5" RND.`P`C
128613`7XACETRON GP (NATURAL)`NULL`7" RND.`P`C
128612`7XACETRON GP (NATURAL)`NULL`7" RND.`P`C
128611`6X4140HT`NULL`6" RND.`P`C
128610`6X4140HT`NULL`6" RND.`P`C
128609`1.75X303`NULL`1.75 ROUND 303 STAINLESS `P`C
128608`16.5X14X.875 C90700 RING`JOHNSON CE`NULL`B`S
128607`8641-0186`NULL`60T SPUR GEAR, NYLOIL`P`C
